city,state_id,state_name,lat,lng
Worthington,IA,Iowa,42.39790,-91.12070
Fairfield,ID,Idaho,43.34890,-114.80060
Cedar Fort,UT,Utah,40.34140,-112.10860
Soudan,MN,Minnesota,47.81300,-92.23560
Hemingway,SC,South Carolina,33.75330,-79.44620
Midwest,WY,Wyoming,43.41130,-106.27720
Thayne,WY,Wyoming,42.91940,-110.99700
Akiak,AK,Alaska,60.90610,-161.21220
Buckhorn,PA,Pennsylvania,41.01760,-76.49680
Lake City,CO,Colorado,38.03020,-107.31060
St. Stephens,AL,Alabama,31.54740,-88.05550
West Union,IL,Illinois,39.21500,-87.66570
Bancroft,ID,Idaho,42.72020,-111.88300
Chewsville,MD,Maryland,39.64840,-77.63110
Tushka,OK,Oklahoma,34.31780,-96.16770
Turah,MT,Montana,46.83990,-113.82510
Soso,MS,Mississippi,31.75350,-89.27590
Rossmore,WV,West Virginia,37.80500,-81.99230
Bloomburg,TX,Texas,33.13780,-94.05910
Howardwick,TX,Texas,35.03470,-100.90770
Finleyville,PA,Pennsylvania,40.25290,-80.00170
Mount Gretna Heights,PA,Pennsylvania,40.24880,-76.46640
Sugarloaf,CO,Colorado,40.01890,-105.40780
Wiley,CO,Colorado,38.15540,-102.71930
Stapleton,GA,Georgia,33.21700,-82.46720
Lynnville,IA,Iowa,41.57290,-92.78690
Rayland,OH,Ohio,40.18420,-80.69110
Holden,UT,Utah,39.10030,-112.27050
Scotts Mills,OR,Oregon,45.04100,-122.66890
Manderson-White Horse Creek,SD,South Dakota,43.23490,-102.49160
Nespelem,WA,Washington,48.16700,-118.97220
Gilman,WI,Wisconsin,45.16620,-90.80720
Mildred,TX,Texas,32.04110,-96.34830
Edom,TX,Texas,32.37430,-95.60990
St. Maurice,LA,Louisiana,31.76130,-92.93890
Twin,AL,Alabama,33.99780,-87.84970
Medora,IL,Illinois,39.17650,-90.14140
Lehigh,IA,Iowa,42.35750,-94.05350
Lamont,OK,Oklahoma,36.69130,-97.55820
Morrisville,MO,Missouri,37.47660,-93.42930
St. Marys Point,MN,Minnesota,44.91280,-92.77040
Perrinton,MI,Michigan,43.18070,-84.67930
Nordic,WY,Wyoming,43.07930,-110.99130
Higgins,TX,Texas,36.12100,-100.02740
Tullos,LA,Louisiana,31.81880,-92.32920
Hallsboro,NC,North Carolina,34.31890,-78.59340
Hobart,NY,New York,42.37150,-74.66910
Arnold City,PA,Pennsylvania,40.11760,-79.82280
Lattimer,PA,Pennsylvania,40.99300,-75.96060
Gwynn,VA,Virginia,37.49840,-76.28830
Edmondson,AR,Arkansas,35.10410,-90.30520
Grady,AR,Arkansas,34.07900,-91.69810
Patterson,AR,Arkansas,35.25900,-91.23490
Richland,IN,Indiana,37.94620,-87.16900
Lagro,IN,Indiana,40.83920,-85.72760
Barnhill,OH,Ohio,40.44970,-81.36790
Pine Springs,MN,Minnesota,45.03680,-92.95430
Westwood Hills,KS,Kansas,39.03890,-94.60970
Lucas,KS,Kansas,39.05850,-98.53790
Gypsum,KS,Kansas,38.70580,-97.42660
Williamsburg,KS,Kansas,38.48290,-95.47160
Martin City,MT,Montana,48.39350,-114.03080
Stanford,MT,Montana,47.15210,-110.21900
Montross,VA,Virginia,38.09410,-76.82270
Alpine,CO,Colorado,37.68770,-106.58600
Elkhart,IL,Illinois,40.01360,-89.47270
Sadorus,IL,Illinois,39.96690,-88.34510
Tall Timbers,MD,Maryland,38.16540,-76.53660
Oakview,MO,Missouri,39.20860,-94.57040
Farrell,MS,Mississippi,34.26170,-90.67500
Kingsley,KY,Kentucky,38.22190,-85.67260
Lohrville,WI,Wisconsin,44.03820,-89.12010
Isleta Village Proper,NM,New Mexico,34.90650,-106.69350
Quitaque,TX,Texas,34.36740,-101.05550
Banquete,TX,Texas,27.80070,-97.79720
Dodd City,TX,Texas,33.57570,-96.07550
Bayview,TX,Texas,26.13240,-97.39700
Defiance,PA,Pennsylvania,40.15990,-78.23200
Chewton,PA,Pennsylvania,40.89470,-80.32080
Raisin City,CA,California,36.60330,-119.90920
Lincoln Park,GA,Georgia,32.86740,-84.33480
Solomon,AZ,Arizona,32.81370,-109.62890
Hookerton,NC,North Carolina,35.42300,-77.58950
Cove City,NC,North Carolina,35.18900,-77.32060
Hiddenite,NC,North Carolina,35.90530,-81.08600
Crenshaw,PA,Pennsylvania,41.24870,-78.75420
Brisbin,PA,Pennsylvania,40.83950,-78.35260
Draper,VA,Virginia,37.00120,-80.73730
Hatfield,AR,Arkansas,34.48590,-94.37930
Portland,AR,Arkansas,33.23790,-91.51100
Bowlegs,OK,Oklahoma,35.14740,-96.66910
Oktaha,OK,Oklahoma,35.57760,-95.47780
Turpin,OK,Oklahoma,36.87050,-100.88250
Hanoverton,OH,Ohio,40.75470,-80.93550
La Sal,UT,Utah,38.30250,-109.26450
Huntleigh,MO,Missouri,38.61310,-90.40910
McHenry,KY,Kentucky,37.37940,-86.92260
Gilbert,WV,West Virginia,37.61420,-81.86890
Page Park,FL,Florida,26.57820,-81.86150
Worthington Springs,FL,Florida,29.93300,-82.41480
Henrietta,NC,North Carolina,35.25690,-81.80120
Webster,NC,North Carolina,35.35000,-83.21880
Bulger,PA,Pennsylvania,40.37670,-80.32300
Melfa,VA,Virginia,37.64890,-75.74070
Bloomfield,CA,California,38.31830,-122.85020
Empire,GA,Georgia,32.33940,-83.29500
Greens Fork,IN,Indiana,39.89180,-85.04100
Salix,IA,Iowa,42.31580,-96.30350
Bivalve,MD,Maryland,38.30590,-75.88340
Whitefield,OK,Oklahoma,35.25460,-95.23910
East Duke,OK,Oklahoma,34.66280,-99.56960
Hato Arriba,PR,Puerto Rico,18.35030,-67.03330
Jane Lew,WV,West Virginia,39.11000,-80.40850
Barstow,TX,Texas,31.46160,-103.39550
Pettus,TX,Texas,28.61560,-97.81210
Dover,NC,North Carolina,35.21550,-77.43370
Gibson,TN,Tennessee,35.87430,-88.84390
Stanardsville,VA,Virginia,38.29910,-78.43670
McArthur,CA,California,41.04150,-121.40680
Dowell,IL,Illinois,37.93970,-89.23900
Warwick,GA,Georgia,31.82980,-83.92060
Red Mesa,AZ,Arizona,36.96640,-109.38280
St. Louisville,OH,Ohio,40.17110,-82.41810
Chokio,MN,Minnesota,45.57310,-96.17480
Jordan,MT,Montana,47.32100,-106.90990
Candelero Abajo,PR,Puerto Rico,18.09430,-65.81650
Eschbach,WA,Washington,46.66700,-120.63370
Red Jacket,WV,West Virginia,37.64880,-82.13170
Alma,TX,Texas,32.28130,-96.55060
Union Grove,TX,Texas,32.57980,-94.90950
Saxman,AK,Alaska,55.32320,-131.58900
King Salmon,AK,Alaska,58.75300,-156.50610
Bunn,NC,North Carolina,35.95910,-78.25200
Manorville,PA,Pennsylvania,40.78760,-79.52070
Mill Village,PA,Pennsylvania,41.87750,-79.97260
Frystown,PA,Pennsylvania,40.45200,-76.33260
New Kent,VA,Virginia,37.50950,-76.98620
Spreckels,CA,California,36.62470,-121.64650
Stockwell,IN,Indiana,40.28220,-86.76870
Chloride,AZ,Arizona,35.40970,-114.19730
Terral,OK,Oklahoma,33.89660,-97.93830
Wallsburg,UT,Utah,40.38700,-111.41940
Ethel,MS,Mississippi,33.12200,-89.46500
Brownsdale,FL,Florida,30.88590,-87.22180
Chireno,TX,Texas,31.49890,-94.34590
Retreat,TX,Texas,32.05070,-96.47870
Delanson,NY,New York,42.74740,-74.18410
Concord,GA,Georgia,33.09160,-84.43870
Salem,IA,Iowa,40.85200,-91.62060
Allen,MD,Maryland,38.28860,-75.69040
Pine Point,MN,Minnesota,46.98890,-95.38830
Beaver Creek,MT,Montana,48.54370,-109.80690
Amherst Junction,WI,Wisconsin,44.46870,-89.31670
Brimhall Nizhoni,NM,New Mexico,35.77850,-108.63210
Callisburg,TX,Texas,33.69870,-97.01590
Sadler,TX,Texas,33.68210,-96.84870
Kilbourne,LA,Louisiana,32.99710,-91.31390
Damascus,AR,Arkansas,35.36710,-92.41080
Thornton,AR,Arkansas,33.77560,-92.48890
Wells River,VT,Vermont,44.15380,-72.06160
Table Grove,IL,Illinois,40.36500,-90.42520
Braswell,GA,Georgia,33.98360,-84.95920
Martin,GA,Georgia,34.48560,-83.19830
Duncombe,IA,Iowa,42.46950,-93.99620
Culdesac,ID,Idaho,46.37490,-116.67030
Alma,MO,Missouri,39.09640,-93.54780
Hayti,SD,South Dakota,44.65710,-97.20460
Huxley,TX,Texas,31.76440,-93.88480
Trapper Creek,AK,Alaska,62.31890,-150.39650
Sardis,TN,Tennessee,35.44240,-88.29130
Depauville,NY,New York,44.14250,-76.04510
Perry,IL,Illinois,39.78220,-90.74720
New Haven,IL,Illinois,37.90250,-88.12790
Joy,IL,Illinois,41.19690,-90.87880
Woodville,GA,Georgia,33.67150,-83.10630
Morral,OH,Ohio,40.69140,-83.20980
Tontogany,OH,Ohio,41.42120,-83.74100
Linn,KS,Kansas,39.67940,-97.08670
Norwood,KY,Kentucky,38.25210,-85.61070
Gardiner,OR,Oregon,43.73270,-124.10680
Mount Carbon,WV,West Virginia,38.14420,-81.28900
Ocean Breeze,FL,Florida,27.24110,-80.22610
Mirando City,TX,Texas,27.44030,-99.00060
Wattsburg,PA,Pennsylvania,42.00290,-79.80700
Thomaston,AL,Alabama,32.26830,-87.62370
Bonnie,IL,Illinois,38.20300,-88.90680
Union,IA,Iowa,42.24340,-93.06250
Laytonsville,MD,Maryland,39.20930,-77.14180
Mountain Park,OK,Oklahoma,34.69890,-98.95230
Willshire,OH,Ohio,40.74650,-84.79240
Jasper,MI,Michigan,41.78590,-84.04030
Wayland,KY,Kentucky,37.45110,-82.79940
Carpenter,WY,Wyoming,41.04560,-104.36440
Brookford,NC,North Carolina,35.70300,-81.34540
Derby Acres,CA,California,35.24390,-119.60390
Monson,CA,California,36.49270,-119.33580
Bellamy,AL,Alabama,32.45820,-88.12770
Beallsville,OH,Ohio,39.84890,-81.03540
Atlanta,MO,Missouri,39.89860,-92.48010
New Strawn,KS,Kansas,38.26220,-95.74230
Duncan,MS,Mississippi,34.04180,-90.74590
Greeleyville,SC,South Carolina,33.58010,-79.99010
Lake Sherwood,WI,Wisconsin,44.20570,-89.79390
Windsor Heights,WV,West Virginia,40.19130,-80.66490
Pleasant Plains,NJ,New Jersey,40.45230,-74.56960
Windthorst,TX,Texas,33.57600,-98.43480
Oak Island,TX,Texas,29.66320,-94.68820
Hydaburg,AK,Alaska,55.20610,-132.82080
Kwigillingok,AK,Alaska,59.87670,-163.17170
Kivalina,AK,Alaska,67.73300,-164.52120
Bostic,NC,North Carolina,35.36240,-81.83600
Clarksburg,TN,Tennessee,35.86680,-88.39320
Callery,PA,Pennsylvania,40.73930,-80.03800
Ambrose,GA,Georgia,31.59440,-83.01370
Monrovia,MD,Maryland,39.35710,-77.27530
Custer City,OK,Oklahoma,35.66370,-98.88690
Alta,UT,Utah,40.58180,-111.62290
Bunker,MO,Missouri,37.45740,-91.21210
Westphalia,MO,Missouri,38.44130,-92.00050
Chamois,MO,Missouri,38.67640,-91.77000
Emmons,MN,Minnesota,43.50680,-93.48510
Altoona,KS,Kansas,37.52500,-95.66140
Dearing,KS,Kansas,37.05330,-95.69530
Buffalo,KY,Kentucky,37.50810,-85.69920
Morgan Farm,TX,Texas,28.00550,-97.55350
Turkey,TX,Texas,34.39390,-100.89530
Oakhurst,TX,Texas,30.74330,-95.30730
Maddock,ND,North Dakota,47.96240,-99.52930
Indian Lake,PA,Pennsylvania,40.04460,-78.86030
Center Ridge,AR,Arkansas,35.38060,-92.57020
Bennett,IA,Iowa,41.74000,-90.97340
Foyil,OK,Oklahoma,36.43090,-95.52150
Bowerston,OH,Ohio,40.42730,-81.18740
Rutland,OH,Ohio,39.04100,-82.12790
Montrose,MO,Missouri,38.25860,-93.98270
Otter Lake,MI,Michigan,43.21380,-83.45960
Almena,KS,Kansas,39.89120,-99.70970
Winchester Bay,OR,Oregon,43.67290,-124.18280
Pueblo of Sandia Village,NM,New Mexico,35.25360,-106.57060
Jacona,NM,New Mexico,35.88870,-106.03860
Big Springs,NE,Nebraska,41.06100,-102.07450
Plymouth,NE,Nebraska,40.30230,-96.98860
Williston,TN,Tennessee,35.15850,-89.37540
Middleport,PA,Pennsylvania,40.72780,-76.08680
Starbrick,PA,Pennsylvania,41.84190,-79.21330
Dillard,GA,Georgia,34.97490,-83.38200
Centralhatchee,GA,Georgia,33.36880,-85.10370
Carbon,IN,Indiana,39.59930,-87.10780
Colesburg,IA,Iowa,42.63870,-91.20100
Orient,IA,Iowa,41.20330,-94.41780
East New Market,MD,Maryland,38.59700,-75.92330
Fairview,MO,Missouri,36.81720,-94.08660
Quenemo,KS,Kansas,38.58020,-95.52670
Merigold,MS,Mississippi,33.83920,-90.72640
North Hodge,LA,Louisiana,32.28450,-92.71710
Loomis,NE,Nebraska,40.47860,-99.50770
Westover,PA,Pennsylvania,40.74650,-78.68220
London Mills,IL,Illinois,40.71060,-90.26610
Satilla,GA,Georgia,31.79210,-82.56400
Jenkinsburg,GA,Georgia,33.32250,-84.03880
Denmark,IA,Iowa,40.73850,-91.33810
Grover Hill,OH,Ohio,41.01900,-84.47750
Newtonsville,OH,Ohio,39.18090,-84.08950
Empire,MI,Michigan,44.81260,-86.05940
El Chaparral,TX,Texas,26.34890,-98.76730
San Patricio,TX,Texas,27.97720,-97.77660
Alexander,ND,North Dakota,47.83930,-103.64260
Pocono Mountain Lake Estates,PA,Pennsylvania,41.15670,-74.96460
Vintondale,PA,Pennsylvania,40.47950,-78.91140
Keokee,VA,Virginia,36.86220,-82.91610
Sparkman,AR,Arkansas,33.91710,-92.85000
Proctorsville,VT,Vermont,43.38240,-72.64150
Langleyville,IL,Illinois,39.56110,-89.36020
Rhine,GA,Georgia,31.98910,-83.20000
Wall Lane,AZ,Arizona,32.65730,-114.71050
Fort Thomas,AZ,Arizona,33.02220,-109.96650
Adelphi,OH,Ohio,39.46470,-82.74560
Hanska,MN,Minnesota,44.14870,-94.49450
Whittemore,MI,Michigan,44.23370,-83.80330
Akron,MI,Michigan,43.56670,-83.51430
Trenton,KY,Kentucky,36.72240,-87.26260
Kenvir,KY,Kentucky,36.85310,-83.15390
Bowers,DE,Delaware,39.06020,-75.40210
New Richmond,WV,West Virginia,37.57350,-81.48700
Villa Verde,TX,Texas,26.13030,-97.99560
Vienna,LA,Louisiana,32.60930,-92.64810
Forest Hills,NC,North Carolina,35.29580,-83.19540
Watauga,TN,Tennessee,36.36880,-82.29190
Mondamin,IA,Iowa,41.71010,-96.02150
Medicine Lake,MN,Minnesota,44.99980,-93.41990
Morton,MN,Minnesota,44.55340,-94.98500
Ogilvie,MN,Minnesota,45.82900,-93.42210
Melvern,KS,Kansas,38.50730,-95.63780
Kelly,NC,North Carolina,34.46390,-78.31090
Eustis,NE,Nebraska,40.66450,-100.02960
Port Gibson,NY,New York,43.03340,-77.15760
Gilbertsville,NY,New York,42.46940,-75.32260
Smithton,PA,Pennsylvania,40.15380,-79.74240
Laurelton,PA,Pennsylvania,40.88150,-77.20240
Tehama,CA,California,40.02180,-122.12690
Cove,AR,Arkansas,34.43660,-94.41600
Between,GA,Georgia,33.81770,-83.80430
Letts,IA,Iowa,41.32990,-91.23560
Deweyville,UT,Utah,41.69300,-112.08830
Wales,UT,Utah,39.48530,-111.63600
Sangrey,MT,Montana,48.28170,-109.81660
Bonney,TX,Texas,29.30130,-95.45080
Grays Prairie,TX,Texas,32.47340,-96.35020
El Refugio,TX,Texas,26.34060,-98.75890
Rennert,NC,North Carolina,34.81410,-79.07910
Ivanhoe,NC,North Carolina,34.58700,-78.24470
Ewing,NE,Nebraska,42.25940,-98.34380
Pamelia Center,NY,New York,44.04090,-75.90170
Smoketown,PA,Pennsylvania,40.03880,-76.20400
Manton,CA,California,40.42020,-121.85400
Bangor,CA,California,39.37610,-121.41170
Olivet,IL,Illinois,39.94140,-87.63790
Barwick,GA,Georgia,30.89330,-83.73910
Columbus City,IA,Iowa,41.25940,-91.37460
Coyle,OK,Oklahoma,35.95380,-97.23880
Optima,OK,Oklahoma,36.76200,-101.34970
Tuppers Plains,OH,Ohio,39.17260,-81.84660
Mound Valley,KS,Kansas,37.20710,-95.40480
Ekalaka,MT,Montana,45.88970,-104.55060
Rivergrove,OR,Oregon,45.38500,-122.73290
Orleans,NE,Nebraska,40.13180,-99.45490
Farnham,NY,New York,42.59510,-79.08090
Berrysburg,PA,Pennsylvania,40.60290,-76.81020
Copper Mountain,CO,Colorado,39.47690,-106.20110
Maytown,AL,Alabama,33.54890,-86.99990
Leslie,GA,Georgia,31.95450,-84.08640
Sulphur Springs,IN,Indiana,39.99890,-85.43910
Midlothian,MD,Maryland,39.63160,-78.95230
Deal Island,MD,Maryland,38.14440,-75.94170
Beaverdam,OH,Ohio,40.83280,-83.97400
Bascom,OH,Ohio,41.12900,-83.28690
Gordonville,MO,Missouri,37.31110,-89.67390
Mahtowa,MN,Minnesota,46.56160,-92.62790
Elberta,MI,Michigan,44.62090,-86.23100
Turon,KS,Kansas,37.80750,-98.42770
Hartford,KS,Kansas,38.30840,-95.95660
Dillard,OR,Oregon,43.10820,-123.42620
Birch Hill,WI,Wisconsin,46.52090,-90.55550
Krakow,WI,Wisconsin,44.75850,-88.26110
Wabeno,WI,Wisconsin,45.43940,-88.65810
Embarrass,WI,Wisconsin,44.66850,-88.70370
Spelter,WV,West Virginia,39.34310,-80.31630
Pueblitos,NM,New Mexico,34.61090,-106.78170
Napakiak,AK,Alaska,60.69230,-161.98220
Hamilton,NC,North Carolina,35.94430,-77.20670
Mariaville Lake,NY,New York,42.82520,-74.12860
New Edinburg,AR,Arkansas,33.75650,-92.24010
Ringsted,IA,Iowa,43.29500,-94.50680
Tolani Lake,AZ,Arizona,35.43090,-110.84310
Dustin,OK,Oklahoma,35.27120,-96.03200
Alta,WY,Wyoming,43.77370,-111.03120
Abbott,TX,Texas,31.88690,-97.08000
Moore,TX,Texas,29.05740,-99.00680
Cofield,NC,North Carolina,36.35670,-76.91050
Manvel,ND,North Dakota,48.07270,-97.17790
Fairfield,NE,Nebraska,40.43230,-98.10330
Nickerson,NE,Nebraska,41.53490,-96.47090
Duncan,NE,Nebraska,41.39010,-97.49340
Refton,PA,Pennsylvania,39.94740,-76.23860
Kratzerville,PA,Pennsylvania,40.85880,-76.89390
Declo,ID,Idaho,42.51970,-113.62870
New Marshfield,OH,Ohio,39.32540,-82.21660
Hustonville,KY,Kentucky,37.47840,-84.81500
Wimer,OR,Oregon,42.54460,-123.14800
White Lake,SD,South Dakota,43.72830,-98.71200
Buffalo,SD,South Dakota,45.58640,-103.54350
Easton,WA,Washington,47.24050,-121.17330
Ualapue,HI,Hawaii,21.07040,-156.83550
Center Ossipee,NH,New Hampshire,43.75430,-71.15140
Newcomb,NM,New Mexico,36.28340,-108.70820
Blanket,TX,Texas,31.82490,-98.78950
St. Petersburg,PA,Pennsylvania,41.16100,-79.65450
Goshen,VA,Virginia,37.99010,-79.50670
Mentone,AL,Alabama,34.56630,-85.58420
Xenia,IL,Illinois,38.63730,-88.63750
Donahue,IA,Iowa,41.69150,-90.67460
Holy Cross,IA,Iowa,42.60110,-90.99600
Deer Park,MD,Maryland,39.42400,-79.32600
North Miami,OK,Oklahoma,36.92000,-94.87970
Round Lake,MN,Minnesota,43.53720,-95.47050
Lowell,KS,Kansas,37.05090,-94.70320
Bagley,WI,Wisconsin,42.90150,-91.09710
Koyuk,AK,Alaska,64.94110,-161.14540
Giltner,NE,Nebraska,40.77500,-98.15370
Madison,PA,Pennsylvania,40.24560,-79.67480
Snydertown,PA,Pennsylvania,40.98720,-77.59940
Ranshaw,PA,Pennsylvania,40.78580,-76.51730
Mappsville,VA,Virginia,37.84330,-75.56890
Boone,CO,Colorado,38.24940,-104.25800
Sparland,IL,Illinois,41.02950,-89.44110
Arenzville,IL,Illinois,39.88050,-90.37060
Belgium,IL,Illinois,40.06070,-87.63280
Bronwood,GA,Georgia,31.83060,-84.36430
Kaw City,OK,Oklahoma,36.76820,-96.86290
Richmond Dale,OH,Ohio,39.20420,-82.81220
Clarks Hill,SC,South Carolina,33.65820,-82.16600
Grand Rivers,KY,Kentucky,37.00500,-88.23300
Takilma,OR,Oregon,42.04090,-123.62220
Capon Bridge,WV,West Virginia,39.29980,-78.43370
Lacassine,LA,Louisiana,30.23310,-92.92080
Columbia,LA,Louisiana,32.10260,-92.07700
Kennard,NE,Nebraska,41.47470,-96.20370
Mount Aetna,PA,Pennsylvania,40.42070,-76.29650
Mexico,PA,Pennsylvania,40.54160,-77.35820
Bloxom,VA,Virginia,37.82920,-75.62140
Centerville,CA,California,36.73610,-119.49610
Arnoldsville,GA,Georgia,33.91030,-83.21810
Wheeler,IN,Indiana,41.51050,-87.17120
Bennington,OK,Oklahoma,34.00380,-96.03760
Gowen,OK,Oklahoma,34.87810,-95.47420
Bellflower,MO,Missouri,39.00380,-91.35210
Wheatland,MO,Missouri,37.94260,-93.40270
Sibley,MO,Missouri,39.17580,-94.20090
Ghent,MN,Minnesota,44.51160,-95.89260
Wetmore,KS,Kansas,39.63570,-95.81120
Glencoe,KY,Kentucky,38.72520,-84.82380
Old Brownsboro Place,KY,Kentucky,38.28920,-85.61320
Hoven,SD,South Dakota,45.24160,-99.77750
Farmington,WV,West Virginia,39.51190,-80.25140
Maunaloa,HI,Hawaii,21.13340,-157.21230
Pinos Altos,NM,New Mexico,32.86650,-108.22210
South Mountain,TX,Texas,31.43980,-97.67930
